t;x;y
0.000000E0;-2.883764E-3;9.246031E-2
1.000000E-2;-2.621386E-3;9.257435E-2
2.000000E-2;-2.893414E-3;9.230579E-2
3.000000E-2;-2.893414E-3;9.230579E-2
4.000000E-2;-3.501531E-3;9.247664E-2
5.000000E-2;-3.862273E-3;9.253915E-2
6.000000E-2;-4.044381E-3;9.229955E-2
7.000000E-2;-4.223786E-3;9.248128E-2
8.000000E-2;-4.645102E-3;9.248398E-2
9.000000E-2;-4.946042E-3;9.248591E-2
1.000000E-1;-5.187180E-3;9.242727E-2
1.100000E-1;-5.730030E-3;9.225018E-2
1.200000E-1;-5.971168E-3;9.219153E-2
1.300000E-1;-6.390553E-3;9.249518E-2
1.400000E-1;-6.994363E-3;9.219810E-2
1.500000E-1;-7.535668E-3;9.226176E-2
1.600000E-1;-8.034780E-3;9.225335E-2
1.700000E-1;-8.502941E-3;9.225635E-2
1.800000E-1;-9.396430E-3;9.230465E-2
1.900000E-1;-9.993364E-3;9.213823E-2
2.000000E-1;-1.101617E-2;9.193198E-2
2.100000E-1;-1.229270E-2;9.198273E-2
2.200000E-1;-1.387043E-2;9.152467E-2
2.300000E-1;-1.548798E-2;9.149248E-2
2.400000E-1;-1.774558E-2;9.120903E-2
2.500000E-1;-2.038731E-2;9.075780E-2
2.600000E-1;-2.396618E-2;9.018489E-2
2.700000E-1;-2.767601E-2;8.910208E-2
2.800000E-1;-3.249485E-2;8.764333E-2
2.900000E-1;-3.752978E-2;8.567522E-2
3.000000E-1;-4.358997E-2;8.311782E-2
3.100000E-1;-4.982667E-2;7.958263E-2
3.200000E-1;-5.666578E-2;7.502982E-2
3.300000E-1;-6.402051E-2;6.971421E-2
3.400000E-1;-7.048995E-2;6.307350E-2
3.500000E-1;-7.730451E-2;5.571145E-2
3.600000E-1;-8.366210E-2;4.660144E-2
3.700000E-1;-8.840951E-2;3.637448E-2
3.800000E-1;-9.256681E-2;2.524995E-2
3.900000E-1;-9.558263E-2;1.292636E-2
4.000000E-1;-9.715796E-2;-4.279593E-4
4.100000E-1;-9.622279E-2;-1.388350E-2
4.200000E-1;-9.354348E-2;-2.747792E-2
4.300000E-1;-8.966647E-2;-4.014366E-2
4.400000E-1;-8.386853E-2;-5.192792E-2
4.500000E-1;-7.695201E-2;-6.184664E-2
4.600000E-1;-6.943283E-2;-7.070518E-2
4.700000E-1;-6.117866E-2;-7.778083E-2
4.800000E-1;-5.215267E-2;-8.396764E-2
4.900000E-1;-4.138035E-2;-8.995284E-2
5.000000E-1;-2.766702E-2;-9.527591E-2
5.100000E-1;-1.163961E-2;-9.814525E-2
5.200000E-1;6.106040E-3;-9.855701E-2
5.300000E-1;2.383206E-2;-9.539346E-2
5.400000E-1;4.090088E-2;-8.852281E-2
5.500000E-1;5.687924E-2;-7.913401E-2
5.600000E-1;6.947190E-2;-6.674417E-2
5.700000E-1;7.964437E-2;-5.344500E-2
5.800000E-1;8.693122E-2;-3.880791E-2
5.900000E-1;9.141592E-2;-2.308879E-2
6.000000E-1;9.338603E-2;-7.906851E-3
6.100000E-1;9.258564E-2;6.654436E-3
6.200000E-1;9.058374E-2;1.969120E-2
6.300000E-1;8.666008E-2;3.171882E-2
6.400000E-1;8.165986E-2;4.179549E-2
6.500000E-1;7.631233E-2;5.081034E-2
6.600000E-1;7.048791E-2;5.846628E-2
6.700000E-1;6.452788E-2;6.488879E-2
6.800000E-1;5.856322E-2;7.058777E-2
6.900000E-1;5.229272E-2;7.505443E-2
7.000000E-1;4.695417E-2;7.883412E-2
7.100000E-1;4.130007E-2;8.174649E-2
7.200000E-1;3.644796E-2;8.380483E-2
7.300000E-1;3.145984E-2;8.572889E-2
7.400000E-1;2.714657E-2;8.751348E-2
7.500000E-1;2.323526E-2;8.875490E-2
7.600000E-1;1.945908E-2;8.999545E-2
7.700000E-1;1.594886E-2;9.055856E-2
7.800000E-1;1.257378E-2;9.112080E-2
7.900000E-1;9.874405E-3;9.167870E-2
8.000000E-1;7.039024E-3;9.210233E-2
8.100000E-1;3.924795E-3;9.225577E-2
8.200000E-1;1.083341E-3;9.232762E-2
8.300000E-1;-2.239994E-3;9.250980E-2
8.400000E-1;-5.458500E-3;9.231596E-2
8.500000E-1;-8.837518E-3;9.217677E-2
8.600000E-1;-1.259187E-2;9.203999E-2
8.700000E-1;-1.672499E-2;9.136943E-2
8.800000E-1;-2.086017E-2;9.037716E-2
8.900000E-1;-2.526208E-2;8.960108E-2
9.000000E-1;-2.988155E-2;8.834381E-2
9.100000E-1;-3.498669E-2;8.660706E-2
9.200000E-1;-4.014820E-2;8.444171E-2
9.300000E-1;-4.568814E-2;8.179620E-2
9.400000E-1;-5.139306E-2;7.850829E-2
9.500000E-1;-5.731624E-2;7.463195E-2
9.600000E-1;-6.335181E-2;6.995202E-2
9.700000E-1;-6.966236E-2;6.420142E-2
9.800000E-1;-7.576566E-2;5.732346E-2
9.900000E-1;-8.150292E-2;4.899538E-2
1.000000E0;-8.719412E-2;3.948735E-2
1.010000E0;-9.203842E-2;2.825801E-2
1.020000E0;-9.565947E-2;1.546581E-2
1.030000E0;-9.703919E-2;9.969777E-4
1.040000E0;-9.671170E-2;-1.482333E-2
1.050000E0;-9.300692E-2;-3.077254E-2
1.060000E0;-8.646275E-2;-4.711532E-2
1.070000E0;-7.674750E-2;-6.229877E-2
1.080000E0;-6.348343E-2;-7.594998E-2
1.090000E0;-4.784018E-2;-8.650643E-2
1.100000E0;-3.056911E-2;-9.407054E-2
1.110000E0;-1.268106E-2;-9.740255E-2
1.120000E0;5.114888E-3;-9.837464E-2
1.130000E0;2.132463E-2;-9.585120E-2
1.140000E0;3.518787E-2;-9.132872E-2
1.150000E0;4.739821E-2;-8.534787E-2
1.160000E0;5.763359E-2;-7.796020E-2
1.170000E0;6.648005E-2;-6.975931E-2
1.180000E0;7.414930E-2;-6.117552E-2
1.190000E0;8.113217E-2;-5.092507E-2
1.200000E0;8.651301E-2;-3.964555E-2
1.210000E0;9.012511E-2;-2.824744E-2
1.220000E0;9.261432E-2;-1.635954E-2
1.230000E0;9.333307E-2;-4.621145E-3
