t;x;y
0.000000E0;-8.729593E-3;1.581879E-1
1.000000E-2;-1.058494E-2;1.579096E-1
2.000000E-2;-1.230114E-2;1.579560E-1
3.000000E-2;-1.415649E-2;1.575849E-1
4.000000E-2;-1.656844E-2;1.571674E-1
5.000000E-2;-1.898040E-2;1.570283E-1
6.000000E-2;-2.125320E-2;1.567500E-1
7.000000E-2;-2.385069E-2;1.559151E-1
8.000000E-2;-2.630903E-2;1.555904E-1
9.000000E-2;-2.886013E-2;1.545236E-1
1.000000E-1;-3.168954E-2;1.538742E-1
1.100000E-1;-3.516832E-2;1.525291E-1
1.200000E-1;-3.836879E-2;1.507665E-1
1.300000E-1;-4.272886E-2;1.492822E-1
1.400000E-1;-4.718170E-2;1.462209E-1
1.500000E-1;-5.149539E-2;1.436698E-1
1.600000E-1;-5.650483E-2;1.399127E-1
1.700000E-1;-6.137512E-2;1.357382E-1
1.800000E-1;-6.629180E-2;1.300330E-1
1.900000E-1;-7.111570E-2;1.234001E-1
2.000000E-1;-7.612515E-2;1.155149E-1
2.100000E-1;-7.992861E-2;1.064700E-1
2.200000E-1;-8.294355E-2;9.561624E-2
2.300000E-1;-8.456699E-2;8.420584E-2
2.400000E-1;-8.484529E-2;7.200692E-2
2.500000E-1;-8.275802E-2;5.934417E-2
2.600000E-1;-7.867625E-2;4.658864E-2
2.700000E-1;-7.167231E-2;3.378673E-2
2.800000E-1;-6.290578E-2;2.376785E-2
2.900000E-1;-5.223753E-2;1.551155E-2
3.000000E-1;-4.064160E-2;1.115148E-2
3.100000E-1;-2.946312E-2;1.064126E-2
3.200000E-1;-1.902678E-2;1.342428E-2
3.300000E-1;-1.230114E-2;1.912948E-2
3.400000E-1;-7.709151E-3;2.729301E-2
3.500000E-1;-6.827860E-3;3.610592E-2
3.600000E-1;-1.058494E-2;4.519713E-2
3.700000E-1;-1.744973E-2;5.326790E-2
3.800000E-1;-2.816437E-2;5.980800E-2
3.900000E-1;-4.240418E-2;6.375062E-2
4.000000E-1;-5.979808E-2;6.333317E-2
4.100000E-1;-7.918647E-2;5.758159E-2
4.200000E-1;-1.000591E-1;4.515075E-2
4.300000E-1;-1.205144E-1;2.390700E-2
4.400000E-1;-1.361457E-1;-5.175595E-3
4.500000E-1;-1.417117E-1;-4.506560E-2
4.600000E-1;-1.319248E-1;-8.843438E-2
4.700000E-1;-1.035379E-1;-1.254950E-1
4.800000E-1;-6.197811E-2;-1.476200E-1
4.900000E-1;-1.814549E-2;-1.514699E-1
5.000000E-1;2.016747E-2;-1.413582E-1
5.100000E-1;5.054881E-2;-1.238716E-1
5.200000E-1;7.369429E-2;-1.038802E-1
5.300000E-1;9.071712E-2;-8.412070E-2
5.400000E-1;1.044003E-1;-6.482507E-2
5.500000E-1;1.160890E-1;-4.729202E-2
5.600000E-1;1.263862E-1;-3.231008E-2
5.700000E-1;1.355702E-1;-1.797750E-2
5.800000E-1;1.428060E-1;-5.685816E-3
5.900000E-1;1.490678E-1;4.564987E-3
6.000000E-1;1.528713E-1;1.291406E-2
6.100000E-1;1.533351E-1;1.954693E-2
6.200000E-1;1.518509E-1;2.511298E-2
6.300000E-1;1.480938E-1;2.947305E-2
6.400000E-1;1.425741E-1;3.323013E-2
6.500000E-1;1.365906E-1;3.527101E-2
6.600000E-1;1.298186E-1;3.772935E-2
6.700000E-1;1.224900E-1;3.902810E-2
6.800000E-1;1.147439E-1;3.912086E-2
6.900000E-1;1.069978E-1;3.902810E-2
7.000000E-1;9.860235E-2;3.814680E-2
7.100000E-1;9.034605E-2;3.587400E-2
7.200000E-1;8.083738E-2;3.332290E-2
